timestep Temp E_pair E_mol TotEng Press
1905000 302.78928 -16849.809 2232.7985 -9652.9456 -4.8225795
1910000 300.31733 -16925.888 2232.2856 -9770.0632 -1.1063089
1915000 299.27095 -16959.844 2271.8346 -9781.6247 0.52155077
1920000 297.38311 -16852.351 2285.7499 -9691.1675 -1.4899566
1925000 300.83659 -16830.204 2229.0736 -9669.0782 1.778836
1930000 303.2372 -16868.705 2279.4012 -9617.8954 1.5340774
1935000 301.56575 -16970.009 2285.321 -9740.682 0.40302268
1940000 303.40864 -16934.388 2219.6335 -9740.5356 4.1082321
1945000 300.62345 -16969.493 2239.1735 -9801.7617 5.9704566
1950000 298.81378 -16916.135 2288.783 -9728.4632 -0.46803723
1955000 303.68668 -16927.844 2266.7797 -9682.2864 -0.031352796
1960000 294.65627 -16979.178 2239.5826 -9908.8669 -0.36725033
1965000 297.28707 -16938.653 2320.2964 -9744.4973 0.32405678
1970000 300.7075 -16859.805 2279.8907 -9649.9785 -4.7998782
1975000 298.94039 -16875.878 2300.5226 -9674.391 3.6633742
1980000 299.81035 -16822.575 2291.8021 -9615.5459 1.0789731
1985000 299.82862 -16972.661 2201.9766 -9855.1579 -0.34866136
1990000 298.75707 -16795.311 2266.5558 -9630.7955 -0.4170425
1995000 299.33685 -16879.281 2284.3452 -9687.4712 6.142055
2000000 302.38884 -16954.895 2225.6757 -9771.7195 -0.17917028
2005000 299.87352 -16912.431 2228.2146 -9767.9538 2.123817
2010000 301.29545 -16941.3 2234.953 -9766.7721 -1.3352137
2015000 293.07354 -17003.515 2249.0423 -9949.6918 -1.6497746
2020000 305.17056 -16894.529 2260.9308 -9630.4931 4.9514129
2025000 302.19903 -16899.293 2204.9694 -9739.9354 0.39438898
2030000 302.9094 -16952.254 2262.4498 -9723.7696 3.7040963
2035000 298.6487 -17012.264 2240.238 -9875.8432 1.5556774
2040000 296.94078 -17021.567 2246.3095 -9907.0752 -0.5506457
2045000 303.76425 -17041.341 2254.1163 -9807.1751 -1.6349907
2050000 298.40929 -16951.341 2260.3066 -9798.7761 2.9802175
2055000 305.32446 -16941.609 2196.8973 -9739.0839 -0.19559414
2060000 295.82907 -16850.926 2183.5803 -9817.3896 5.9630053
2065000 297.48603 -16851.367 2251.5788 -9722.6666 3.5444117
