timestep Temp E_pair E_mol TotEng Press
1675000 300.05244 -11109.35 1189.3071 -7236.8449 -5.9060702
1680000 303.5135 -11106.705 1268.1697 -7124.3871 -2.0675534
1685000 297.04969 -11146.001 1288.2273 -7201.4281 -2.6454737
1690000 305.22917 -11123.077 1269.7465 -7123.8404 -22.061438
1695000 299.50139 -11014.737 1225.1814 -7111.2852 -13.633983
1700000 293.64744 -11044.512 1233.377 -7185.2128 0.43758794
1705000 299.29037 -11134.397 1246.8014 -7211.2121 -14.751934
1710000 302.48814 -11025.548 1198.3249 -7122.2442 11.677235
1715000 297.58312 -11042.753 1226.737 -7154.8996 0.72368814
1720000 306.8532 -11110.164 1227.6622 -7138.4883 0.96240547
1725000 303.20005 -11057.301 1258.3635 -7087.5924 -11.743233
1730000 293.84151 -11010.159 1210.9735 -7171.528 -15.199065
1735000 304.07474 -11131.799 1203.8349 -7208.7972 -6.3894731
1740000 307.35541 -11154.662 1235.2381 -7170.9193 11.257437
1745000 294.61009 -11078.294 1253.7115 -7190.0521 -0.020946349
1750000 298.19344 -11202.109 1166.3172 -7369.2173 -8.8580486
1755000 300.45984 -11154.719 1220.6808 -7247.1969 -10.181087
1760000 308.83142 -11104.881 1234.5554 -7108.6223 -21.105981
1765000 296.78502 -11126.132 1180.7527 -7291.3997 1.1705883
1770000 300.85811 -11191.97 1236.6585 -7264.9084 8.3610718
1775000 293.58707 -11060.265 1231.9879 -7202.895 25.188824
1780000 304.89016 -11053.26 1242.1599 -7084.6409 26.937166
1785000 309.6808 -11108.37 1174.9237 -7164.1471 -12.446384
1790000 294.2924 -11069.524 1229.5742 -7208.2606 -21.22957
1795000 304.79459 -11116.002 1261.5913 -7128.8066 4.0569462
1800000 301.74729 -11065.433 1204.9625 -7162.1168 -37.799837
1805000 291.24696 -11184.97 1259.9407 -7320.5741 -20.782352
1810000 302.76266 -11096.372 1254.6448 -7134.2935 -14.304928
1815000 306.6185 -11026.698 1221.2759 -7063.5081 31.493884
1820000 303.59684 -11148.022 1226.4831 -7206.6449 -5.6223909
1825000 307.49701 -11064.012 1231.097 -7083.1445 14.364312
1830000 299.48842 -11158.875 1178.1664 -7302.5538 -17.147484
1835000 301.53024 -11131.337 1205.7346 -7229.189 -18.406276
1840000 295.78882 -11214.782 1223.2003 -7346.511 8.0682524
1845000 305.15641 -11052.817 1181.6091 -7142.3678 -12.04948
1850000 302.42661 -11122.094 1264.5123 -7153.1526 1.2503213
1855000 297.31845 -11013.597 1209.5674 -7145.2797 2.2131658
1860000 298.33058 -11027.685 1192.762 -7167.1222 -19.643536
1865000 303.2405 -11137.006 1291.3675 -7133.9317 3.6629977
1870000 299.48062 -11116.932 1239.2817 -7199.566 17.009401
